"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 24 17:25:27 MSK 2024","Wed Jul 24 17:25:28 MSK 2024","639","tests","test_home_page","TestHomePage","","","Проверка, что при добавлении ингредиента в заказ счётчик этого ингридиента увеличивается","Дожидаемся загрузки страницы, скроллим конструктор до тестового ингредиента, перетягиваем тестовый ингредиент в зону формирования бургера, ожидаем увеличение счетчика ингредиента до 1"
"passed","Wed Jul 24 17:25:32 MSK 2024","Wed Jul 24 17:25:34 MSK 2024","1176","tests","test_home_page","TestHomePage","","","Проверка, что при добавлении ингредиента в заказ счётчик этого ингридиента увеличивается","Дожидаемся загрузки страницы, скроллим конструктор до тестового ингредиента, перетягиваем тестовый ингредиент в зону формирования бургера, ожидаем увеличение счетчика ингредиента до 1"
"failed","Wed Jul 24 17:26:55 MSK 2024","Wed Jul 24 17:27:12 MSK 2024","16715","tests","test_order_list","TestOrderList","","","Проверка, что при создании нового заказа счётчик ""Выполнено за всё время"" увеличивается","Авторизуем тестового пользователя, переходим в ""Ленту заказов"" и фиксируем на счетчике число выполненных за все время заказов, переходим в ""Конструктор"", делаем заказ, переходим в ""Ленту заказов"", ожидаем, что число выполненных за все время заказов на счетчике увеличилось"
"passed","Wed Jul 24 17:31:24 MSK 2024","Wed Jul 24 17:31:26 MSK 2024","1859","tests","test_personal_account","TestPersonalAccount","","","Проверяем переход авторизованного пользователя по клику на кнопку ""Личный кабинет"" в хэдере приложения","Авторизуем тестового пользователя, кликаем по кнопке ""Личный кабинет"" в хэдере приложения, ожидаем переход в ""Личный кабинет"" тестового пользователя"
"passed","Wed Jul 24 17:25:46 MSK 2024","Wed Jul 24 17:26:00 MSK 2024","13127","tests","test_home_page","TestHomePage","","","Залогиненный пользователь может оформить заказ","Дожидаемся загрузки страницы, в рамках подготовки тестового окружения кликаем по кнопке ""Войти в аккаунт"", авторизуем тестового кользователя, дожидаемся перенаправления на страницу Конструктора, создаем заказ и нажимаем кнопку ""Оформить"", ожидаем появления всплывающего окна с номером заказа"
"passed","Wed Jul 24 17:26:09 MSK 2024","Wed Jul 24 17:26:12 MSK 2024","2725","tests","test_home_page","TestHomePage","","","Залогиненный пользователь может оформить заказ","Дожидаемся загрузки страницы, в рамках подготовки тестового окружения кликаем по кнопке ""Войти в аккаунт"", авторизуем тестового кользователя, дожидаемся перенаправления на страницу Конструктора, создаем заказ и нажимаем кнопку ""Оформить"", ожидаем появления всплывающего окна с номером заказа"
"passed","Wed Jul 24 17:30:32 MSK 2024","Wed Jul 24 17:30:34 MSK 2024","2042","tests","test_password_recovery_page","TestPasswordRecoveryPage","","","Проверка ввода почты и клика по кнопке «Восстановить»","Переходим на страницу авторизации, кликаем на кнопку ""Восстановить пароль"", в поле ""email"" вводим тестовый email, кликаем по кнопке ""Восстановить"", ожидаем открытия страницы ввода нового пароля"
"passed","Wed Jul 24 17:25:13 MSK 2024","Wed Jul 24 17:25:14 MSK 2024","1195","tests","test_home_page","TestHomePage","","","Проверка закрытия всплывающего окна с деталями об ингредиенте по клику на крестик в окне","Дожидаемся загрузки страницы, скроллим конструктор до тестового ингредиента, кликаем по карточке тестового ингредиента, ожидаем появление всплывающего окна с информацией об ингредиенте, кликаем на крестик в правом верхнем углу окна, ожидаем закрытие окна"
"passed","Wed Jul 24 17:29:39 MSK 2024","Wed Jul 24 17:29:46 MSK 2024","6466","tests","test_order_list","TestOrderList","","","Проверка, что заказ пользователя из раздела «История заказов» отображается на странице «Лента заказов»","Авторизуем тестового пользователя, делаем заказ, фиксируем номер заказа, переходим в Личный Кабинет, переходим в Историю заказов, ожидаем созданный заказ последним в Истории, переходим в Ленту заказов,ожидаем создланный заказ в Ленте Заказов"
"passed","Wed Jul 24 17:32:00 MSK 2024","Wed Jul 24 17:32:00 MSK 2024","624","tests","test_personal_account","TestPersonalAccount","","","Проверяем переход неавторизованного пользователя по клику на кнопку ""Личный кабинет"" в хэдере приложения","дожидаемся загрузки страницы, кликаем по кнопке ""Личный кабинет"" в хэдере приложения, ожидаем переход на страницу авторизации "
"passed","Wed Jul 24 17:30:57 MSK 2024","Wed Jul 24 17:30:59 MSK 2024","2042","tests","test_password_recovery_page","TestPasswordRecoveryPage","","","Проверка, что клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","Переходим на страницу авторизации, кликаем на кнопку ""Восстановить пароль"", в поле ""email"" вводим тестовый email, кликаем по кнопке ""Восстановить"", кликаем по кнопке ""Показать/скрыть пароль"", ожидаем, что поле ввода подсвечивается синим"
"passed","Wed Jul 24 17:31:36 MSK 2024","Wed Jul 24 17:31:38 MSK 2024","1889","tests","test_personal_account","TestPersonalAccount","","","Проверяем переход авторизованного пользователя по клику на кнопку ""Личный кабинет"" в хэдере приложения","Авторизуем тестового пользователя, кликаем по кнопке ""Личный кабинет"" в хэдере приложения, ожидаем переход в ""Личный кабинет"" тестового пользователя"
